v_r(m/s)           v_z(m/s)           EVDF(m-3s-3)       
1.5325585193e+04   3.7803110143e+05   1.5628901620e-20  
1.5325585193e+04   3.9846521502e+05   1.4952716087e-20  
1.5325585193e+04   4.1889932862e+05   1.4731828813e-20  
1.5325585193e+04   4.3933344221e+05   1.4024087955e-20  
1.5325585193e+04   4.5976755580e+05   1.3397489361e-20  
1.5325585193e+04   4.8020166939e+05   1.2698764311e-20  
1.5325585193e+04   5.0063578298e+05   1.1472614544e-20  
1.5325585193e+04   5.2106989657e+05   1.0746842072e-20  
1.5325585193e+04   5.4150401016e+05   9.7280558687e-21  
1.5325585193e+04   5.6193812375e+05   9.4350421377e-21  
1.5325585193e+04   5.8237223734e+05   8.9346648433e-21  
1.5325585193e+04   6.0280635093e+05   7.7671178229e-21  
1.5325585193e+04   6.2324046453e+05   7.9880050970e-21  
1.5325585193e+04   6.4367457812e+05   6.9376635690e-21  
1.5325585193e+04   6.6410869171e+05   6.4282704674e-21  
1.5325585193e+04   6.8454280530e+05   6.3967151426e-21  
1.5325585193e+04   7.0497691889e+05   5.8828141375e-21  
1.5325585193e+04   7.2541103248e+05   5.4725949141e-21  
1.5325585193e+04   7.4584514607e+05   5.5402134674e-21  
1.5325585193e+04   7.6627925966e+05   5.2381839293e-21  
1.5325585193e+04   7.8671337325e+05   4.5665062998e-21  
1.5325585193e+04   8.0714748685e+05   4.7017434064e-21  
1.5325585193e+04   8.2758160044e+05   4.7062513100e-21  
1.5325585193e+04   8.4801571403e+05   4.2870162795e-21  
1.5325585193e+04   8.6844982762e+05   3.8497496348e-21  
1.5325585193e+04   8.8888394121e+05   3.5973070358e-21  
1.5325585193e+04   9.0931805480e+05   3.4665778327e-21  
1.5325585193e+04   9.2975216839e+05   2.8489950459e-21  
1.5325585193e+04   9.5018628198e+05   2.8039160103e-21  
1.5325585193e+04   9.7062039557e+05   2.5469655078e-21  
1.5325585193e+04   9.9105450916e+05   2.0871593453e-21  
1.5325585193e+04   1.0114886228e+06   2.1953490306e-21  
1.5325585193e+04   1.0319227363e+06   2.1142067666e-21  
1.5325585193e+04   1.0523568499e+06   1.7670981930e-21  
1.5325585193e+04   1.0727909635e+06   1.4199896194e-21  
1.5325585193e+04   1.0932250771e+06   1.3884342945e-21  
1.5325585193e+04   1.1136591907e+06   1.2622129950e-21  
1.5325585193e+04   1.1340933043e+06   1.0954205635e-21  
1.5325585193e+04   1.1545274179e+06   9.5116764981e-22  
1.5325585193e+04   1.1749615315e+06   8.2945425386e-22  
1.5325585193e+04   1.1953956451e+06   6.6266182238e-22  
1.5325585193e+04   1.2158297587e+06   7.6634360411e-22  
1.5325585193e+04   1.2362638723e+06   4.0571131982e-22  
1.5325585193e+04   1.2566979858e+06   3.6514018784e-22  
1.5325585193e+04   1.2771320994e+06   3.0653744165e-22  
1.5325585193e+04   1.2975662130e+06   2.9301373098e-22  
1.5325585193e+04   1.3180003266e+06   2.2990308123e-22  
1.5325585193e+04   1.3384344402e+06   1.6679243148e-22  
1.5325585193e+04   1.3588685538e+06   9.9173878179e-23  
1.5325585193e+04   1.3793026674e+06   6.7618553304e-23  
1.5325585193e+04   1.3997367810e+06   8.5650167519e-23  
1.5325585193e+04   1.4201708946e+06   6.7618553304e-23  
1.5325585193e+04   1.4406050082e+06   5.8602746197e-23  
1.5325585193e+04   1.4610391218e+06   4.0571131982e-23  
1.5325585193e+04   1.4814732353e+06   4.5079035536e-24  
1.5325585193e+04   1.5019073489e+06   0.0000000000e+00  
1.5325585193e+04   1.5223414625e+06   9.0158071072e-24  
1.5325585193e+04   1.5427755761e+06   0.0000000000e+00  
1.5325585193e+04   1.5632096897e+06   0.0000000000e+00  
1.5325585193e+04   1.5836438033e+06   0.0000000000e+00  
1.5325585193e+04   1.6040779169e+06   0.0000000000e+00  
1.5325585193e+04   1.6245120305e+06   0.0000000000e+00  
1.5325585193e+04   1.6449461441e+06   0.0000000000e+00  
1.5325585193e+04   1.6653802577e+06   0.0000000000e+00  
1.5325585193e+04   1.6858143713e+06   0.0000000000e+00  
1.5325585193e+04   1.7062484848e+06   0.0000000000e+00  
1.5325585193e+04   1.7266825984e+06   0.0000000000e+00  
1.5325585193e+04   1.7471167120e+06   0.0000000000e+00  
1.5325585193e+04   1.7675508256e+06   0.0000000000e+00  
1.5325585193e+04   1.7879849392e+06   0.0000000000e+00  
1.5325585193e+04   1.8084190528e+06   0.0000000000e+00  
1.5325585193e+04   1.8288531664e+06   0.0000000000e+00  
1.5325585193e+04   1.8492872800e+06   0.0000000000e+00  
1.5325585193e+04   1.8697213936e+06   0.0000000000e+00  
1.5325585193e+04   1.8901555072e+06   0.0000000000e+00  
1.5325585193e+04   1.9105896208e+06   0.0000000000e+00  
1.5325585193e+04   1.9310237344e+06   0.0000000000e+00  
1.5325585193e+04   1.9514578479e+06   0.0000000000e+00  
1.5325585193e+04   1.9718919615e+06   0.0000000000e+00  
1.5325585193e+04   1.9923260751e+06   0.0000000000e+00  
1.5325585193e+04   2.0127601887e+06   0.0000000000e+00  
1.5325585193e+04   2.0331943023e+06   0.0000000000e+00  
2.5542641989e+04   -2.0331943023e+06  0.0000000000e+00  
2.5542641989e+04   -2.0127601887e+06  0.0000000000e+00  
2.5542641989e+04   -1.9923260751e+06  0.0000000000e+00  
2.5542641989e+04   -1.9718919615e+06  0.0000000000e+00  
2.5542641989e+04   -1.9514578479e+06  0.0000000000e+00  
2.5542641989e+04   -1.9310237344e+06  0.0000000000e+00  
2.5542641989e+04   -1.9105896208e+06  0.0000000000e+00  
2.5542641989e+04   -1.8901555072e+06  0.0000000000e+00  
2.5542641989e+04   -1.8697213936e+06  0.0000000000e+00  
2.5542641989e+04   -1.8492872800e+06  0.0000000000e+00  
2.5542641989e+04   -1.8288531664e+06  0.0000000000e+00  
2.5542641989e+04   -1.8084190528e+06  0.0000000000e+00  
2.5542641989e+04   -1.7879849392e+06  0.0000000000e+00  
2.5542641989e+04   -1.7675508256e+06  0.0000000000e+00  
2.5542641989e+04   -1.7471167120e+06  0.0000000000e+00  
2.5542641989e+04   -1.7266825984e+06  0.0000000000e+00  
2.5542641989e+04   -1.7062484848e+06  0.0000000000e+00  
2.5542641989e+04   -1.6858143713e+06  0.0000000000e+00  
2.5542641989e+04   -1.6653802577e+06  0.0000000000e+00  
2.5542641989e+04   -1.6449461441e+06  0.0000000000e+00  
2.5542641989e+04   -1.6245120305e+06  0.0000000000e+00  
2.5542641989e+04   -1.6040779169e+06  0.0000000000e+00  
2.5542641989e+04   -1.5836438033e+06  0.0000000000e+00  
2.5542641989e+04   -1.5632096897e+06  0.0000000000e+00  
2.5542641989e+04   -1.5427755761e+06  4.5079035536e-24  
2.5542641989e+04   -1.5223414625e+06  0.0000000000e+00  
2.5542641989e+04   -1.5019073489e+06  4.5079035536e-24  
2.5542641989e+04   -1.4814732353e+06  1.8031614214e-23  
2.5542641989e+04   -1.4610391218e+06  2.2539517768e-23  
2.5542641989e+04   -1.4406050082e+06  5.4094842643e-23  
2.5542641989e+04   -1.4201708946e+06  5.8602746197e-23  
2.5542641989e+04   -1.3997367810e+06  9.4665974626e-23  
2.5542641989e+04   -1.3793026674e+06  1.0368178173e-22  
2.5542641989e+04   -1.3588685538e+06  1.1269758884e-22  
2.5542641989e+04   -1.3384344402e+06  2.5695050256e-22  
2.5542641989e+04   -1.3180003266e+06  1.8031614214e-22  
2.5542641989e+04   -1.2975662130e+06  2.6596630966e-22  
2.5542641989e+04   -1.2771320994e+06  3.2907695941e-22  
